Found 612 unique locations with Flexitricity load curtailment/drop components
Format: Tab-separated values (copy and paste into Excel)

====================================================================================================
Location	Status	Delivery Year	Auction	Description	CMU ID	Google Maps URL
The Causeway , Billingham, TS23 2LF	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=The%20Causeway%20%2C%20Billingham%2C%20TS23%202LF&t=k
The Courts Roseberry Road, Redcar, TS104NY	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=The%20Courts%20Roseberry%20Road%2C%20Redcar%2C%20TS104NY&t=k
The Crumbles Pevensey Bay Road BN23 6JH	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=The%20Crumbles%20Pevensey%20Bay%20Road%20BN23%206JH&t=k
The Drumber  CW7 1BD	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=The%20Drumber%20%20CW7%201BD&t=k
The Galleries  NE38 7NF	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=The%20Galleries%20%20NE38%207NF&t=k
The Ginns Preston St, Whitehaven, CA28 9DL	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=The%20Ginns%20Preston%20St%2C%20Whitehaven%2C%20CA28%209DL&t=k
The Marlands Manchester Street, Southampton, SO14 7EG	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=The%20Marlands%20Manchester%20Street%2C%20Southampton%2C%20SO14%207EG&t=k
The Nettleham Fields Shopping Centre 323 Wolsey Way, Lincoln, LN24SX	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=The%20Nettleham%20Fields%20Shopping%20Centre%20323%20Wolsey%20Way%2C%20Lincoln%2C%20LN24SX&t=k
The Old Cricket Ground Dane Street OL12 6XT	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=The%20Old%20Cricket%20Ground%20Dane%20Street%20OL12%206XT&t=k
The Quintins North Street, Hailsham, BN27 1DP	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=The%20Quintins%20North%20Street%2C%20Hailsham%2C%20BN27%201DP&t=k
