tuple_id,company_name,total_cost,government_grant,region,technology,description,extraction_method,extraction_time
1,"Industry: Meat and dairy Competition: Phase 2, autumn 2022 Region: Northern Ireland Project type: Deployment Technology: Energy Efficiency (Heat or energy recovery) Solution: Heat recovery from flue gases for heating water Total cost: £836,214 Total grant: £293,305 Contractors: Project partners: &nbsp; Cranswick plc is a producer and supplier of meat products. Their site in Cullybackey, near Ballymena in Northern Ireland specialises in fresh pork products. Cranswick are partnering with Thermal Energy International (UK) Ltd to recover heat from flue exhaust gases and reuse the thermal energy for pre-heating hot water. This will reduce fuel consumption and is expected to cut annual emissions by 1,569 tCO2.","£836,214","£293,305",Northern Ireland,,,session_api,2025-06-24T18:29:44.932388
4,Tobermore Concrete Products Ltd,,,,,,session_api,2025-06-24T18:29:45.750890
6,"Industry: Meat and dairy Competition: Phase 2, autumn 2022 Region: Northern Ireland Project type: Deployment Technology: Energy Efficiency (Heat or energy recovery) Solution: Heat recovery from exhaust gases for heating water Total cost: £650,000 Total grant: £227,500 Contractors: Project partners: Thermal Energy International (UK) Ltd","£650,000","£227,500",Northern Ireland,,,session_api,2025-06-24T18:29:46.317406
7,>FP McCann Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:46.849632
8,>Lacpatrick Dairies NI Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:47.124858
9,>Futamura Chemical UK Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:47.414733
10,"Industry: Construction, cement, concrete Competition: Phase 1, spring 2021 Region: Northern Ireland Project type: Engineering Study Technology: Deep Decarbonisation (Fuel switch: electricity/heat pump) Solution: Energy efficient curing and low carbon cement Total cost: £1,882,319 Total grant: £1,128,466 Contractors: Project partners: University College London - microwave curing engineering partners City University London - technical monitoring and analysis partners Industrial Microwave Systems Ltd - optimisation of low carbon curing technique","£1,882,319","£1,128,466",London,Decarbonisation,,session_api,2025-06-24T18:29:47.674555
11,>Holmen Iggesund Paperboard Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:47.957499
12,>Dale Farm Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:48.250140
14,>Cemcor Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:48.784017
15,"Industry: Food (general) Competition: Phase 2, autumn 2022 Region: North East Project type: Feasibility Study Technology: Deep Decarbonisation (Fuel switch: hydrogen) Solution: Switching from natural gas to hydrogen Total cost: £677,961 Total grant: £418,488 Contractors: Project partners: Teesside University SAACKE Combustion Services Ltd","£677,961","£418,488",North East,Decarbonisation,,session_api,2025-06-24T18:29:49.054100
16,Autotech Engineering R&amp;D UK Ltd,,,,,,session_api,2025-06-24T18:29:49.324274
17,"Industry: Food (general) Competition: Phase 1, summer 2020 Region: North East Project type: Feasibility Study Technology: Deep Decarbonisation (Fuel switch: hydrogen) Solution: Hydrogen boilers Total cost: £199,691 Total grant: £108,375 Contractors: Project partners: Protium Green Solutions Ltd - undertook case study on behalf of Marlow Foods","£199,691","£108,375",North East,Decarbonisation,,session_api,2025-06-24T18:29:49.598764
18,>Natural World Products Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:49.872020
19,>Recon Waste Management Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:50.198524
20,>James Cropper PLC</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:50.466572
22,York Handmade Brick Company Ltd,,,,,,session_api,2025-06-24T18:29:51.002089
23,>Verallia UK Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:51.271583
24,>Wienerberger Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:51.546339
25,>Mitsubishi Chemical UK Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:51.822882
26,>Weir Minerals Europe Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:52.091712
27,>Saint-Gobain Glass (UK) Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:52.381344
29,>Plasmor Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:52.939370
31,>Esseco UK Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:53.782528
32,>Prax Lindsey Oil Refinery Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:54.305059
35,"Industry: Mineral oil refining Competition: Phase 1, summer 2020 Region: Yorkshire and The Humber Project type: Feasibility Study Technology: Deep Decarbonisation (Fuel switch: hydrogen) Solution: Hydrogen burners Total cost: £1,019,209 Total grant: £509,604 Contractors: Element Energy (part of Environmental Resources Management (ERM) Ltd) – consultants","£1,019,209","£509,604",Yorkshire,Decarbonisation,,session_api,2025-06-24T18:29:55.113647
36,"Industry: Construction, cement, concrete Competition: Phase 2, spring 2022 Region: Yorkshire and The Humber Project type: Deployment Technology: Deep Decarbonisation (Electrification) Solution: Electrifying conveyance and processing systems Total cost: £1,870,689 Total grant: £355,431 Contractors: Project partners: &nbsp; Cemineral Limited supplies of cement products, especially for use in precast concrete, housing, and infrastructure. In line with its decarbonisation strategy, which includes low carbon alternatives to Portland cement, Cemineral is electrifying conveyance and processing systems at its docks in Immingham, Lincolnshire. IETF support is enabling Cemineral to transform a major processing and import hub as part of their sustainability journey.","£1,870,689","£355,431",Yorkshire,Electrification,,session_api,2025-06-24T18:29:55.376556
37,"Industry: Meat and dairy Competition: Phase 1, summer 2020 Region: Yorkshire and The Humber Project type: Deployment Technology: Energy Efficiency (Heating and cooling equipment) Solution: Cooling upgrade Total cost: £950,522 Total grant: £250,463 Contractors: GEA UK Ltd","£950,522","£250,463",Yorkshire,,,session_api,2025-06-24T18:29:55.644088
38,>Storelogs Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:55.925428
39,"Industry: Food (general) Competition: Phase 2, autumn 2022 Region: North West Project type: Deployment Technology: Deep Decarbonisation (Fuel switch: biomass) Solution: Pyrolising biomass combined heat and power plant, producing syngas and biochar Total cost: £1,414,471 Total grant: £988,341 Contractors: Project partners: Woodtek Engineering Ltd","£1,414,471","£988,341",North West,Decarbonisation,,session_api,2025-06-24T18:29:56.183723
41,>Naylor Industries PLC</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:57.034030
42,H.J. Heinz Manufacturing UK Ltd,,,,,,session_api,2025-06-24T18:29:57.304356
43,"Industry: Glass Competition: Phase 2, autumn 2021 Region: Yorkshire and The Humber Project type: Deployment Technology: Energy Efficiency (Heat or energy recovery) Solution: End-fired furnace Total cost: £4,584,292 Total grant: £1,768,176 Contractors: Project partners: Glass Futures Ltd - technical, skills, and dissemination partner","£4,584,292","£1,768,176",Yorkshire,,,session_api,2025-06-24T18:29:57.574945
44,>Aggregate Industries UK Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:57.847144
45,>Polypipe Ltd</span></div><div style=\\\,,,,,,session_api,2025-06-24T18:29:58.119860
47,"Industry: Meat and dairy Competition: Phase 1, summer 2020 Region: North West Project type: Deployment Technology: Energy Efficiency (Heating and cooling equipment) Solution: Cooling upgrade Total cost: £766,242 Total grant: £250,101 Contractors: GEA UK Ltd","£766,242","£250,101",North West,,,session_api,2025-06-24T18:29:58.656504
